City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
269,Baruun-Urt,MN,46.68,113.28,14.5,84,0,6.17,clear sky
270,Quatre Cocos,MU,-20.21,57.76,73.4,78,40,6.93,scattered clouds
271,Cockburn Town,TC,21.46,-71.14,75.2,88,90,11.41,overcast clouds
272,Coahuayana,MX,18.73,-103.68,84.2,51,20,6.93,few clouds
273,Cape Canaveral,US,28.41,-80.6,80.6,69,1,16.11,clear sky
274,Ilulissat,GL,69.22,-51.1,10.4,66,20,5.82,few clouds
275,Bogorodskoye,RU,56.55,37.88,40.8,93,25,10.83,scattered clouds
276,Pafos,CY,34.77,32.42,66.2,52,20,5.82,few clouds
277,Mogadishu,SO,2.04,45.34,79.79,78,99,7.49,moderate rain
278,San Cristobal,VE,7.77,-72.22,84.2,70,40,11.41,scattered clouds
279,Barra Patuca,HN,15.8,-84.28,82.83,75,77,19.64,broken clouds
280,Ayagoz,KZ,47.97,80.44,33.01,85,9,2.68,clear sky
281,Mineros,BO,-17.12,-63.23,98.6,39,20,9.17,smoke
282,Nome,US,64.5,-165.41,37.4,86,1,11.41,clear sky
283,Manjo,CM,4.84,9.82,70.79,91,100,1.5,light rain
284,Pisco,PE,-13.7,-76.22,66.99,82,90,6.93,overcast clouds
285,Lagoa,PT,39.05,-27.98,61.09,73,0,19.8,clear sky
286,Novaya Zaimka,RU,56.49,66.92,35.62,97,100,4.32,light rain
287,Okhotsk,RU,59.38,143.3,10.44,89,94,14.81,overcast clouds
288,Linjiang,CN,41.81,126.91,26.98,81,0,6.11,clear sky
289,Daru,PG,-9.08,143.21,76.57,91,98,5.55,overcast clouds
290,Thompson,CA,55.74,-97.86,19.4,79,90,2.24,light snow
291,Ketchikan,US,55.34,-131.65,39.2,69,1,20.8,clear sky
292,Oxapampa,PE,-10.58,-75.4,68.43,74,50,2.26,light rain
293,Sur,OM,22.57,59.53,75.36,76,0,7.58,clear sky
294,Kurilsk,RU,45.23,147.88,46.47,84,98,2.35,light rain
295,Tuatapere,NZ,-46.13,167.68,51.01,55,39,11.01,scattered clouds
296,Lingyuan,CN,41.24,119.4,26.76,63,0,4.79,clear sky
297,Lavrentiya,RU,65.58,-171.0,28.69,96,53,10.0,broken clouds
298,Fort Frances,CA,48.6,-93.4,45.0,75,90,6.93,overcast clouds
299,Bathsheba,BB,13.22,-59.52,82.4,83,40,17.22,shower rain
300,Axim,GH,4.87,-2.24,78.73,87,71,7.34,light rain
301,Houston,US,29.76,-95.36,82.99,39,1,5.44,clear sky
302,Werda,BW,-25.27,23.28,83.39,20,0,5.68,clear sky
303,Maiduguri,NG,11.85,13.16,75.88,23,0,8.08,clear sky
304,Hualmay,PE,-11.1,-77.61,66.2,70,22,10.78,few clouds
305,Salalah,OM,17.02,54.09,75.2,69,0,2.24,clear sky
306,Wanning,CN,18.8,110.4,71.98,81,0,9.57,clear sky
307,Los Llanos De Aridane,ES,28.66,-17.92,68.0,64,20,8.05,few clouds
308,Mkushi,ZM,-13.62,29.39,72.45,26,1,5.28,clear sky
309,Menongue,AO,-14.66,17.69,72.32,59,96,6.13,overcast clouds
310,Fortuna,US,40.6,-124.16,55.99,58,1,19.46,clear sky
311,Kiruna,SE,67.86,20.23,32.0,89,0,19.46,clear sky
312,Half Moon Bay,US,37.46,-122.43,61.0,62,1,10.29,clear sky
313,Mackenzie,CA,55.3,-123.17,28.4,63,20,5.82,few clouds
314,Ovalle,CL,-30.6,-71.2,75.36,38,0,8.57,clear sky
315,Aklavik,CA,68.22,-135.01,33.8,55,75,4.7,broken clouds
316,Garmsar,IR,35.22,52.34,63.57,39,89,10.27,overcast clouds
317,Cidreira,BR,-30.18,-50.21,69.04,80,2,14.0,clear sky
318,Chapais,CA,49.78,-74.85,32.0,97,90,8.05,overcast clouds
319,Lyuban,BY,52.8,28.0,44.06,96,50,6.8,scattered clouds
320,Karratha,AU,-20.74,116.85,69.96,67,0,9.91,light rain
321,Jasper,US,37.2,-94.35,73.99,43,1,14.99,clear sky
322,Bethel,US,41.37,-73.41,73.4,35,1,5.82,clear sky
323,Sandusky,US,41.35,-83.13,71.01,40,1,6.93,clear sky
324,Port Hueneme,US,34.15,-119.2,61.0,58,40,21.92,scattered clouds
325,Shaowu,CN,27.34,117.48,61.75,72,40,2.19,light rain
326,Shingu,JP,33.73,135.98,61.79,88,100,4.92,overcast clouds
327,Polohy,UA,47.48,36.25,48.72,72,88,5.97,overcast clouds
328,Cheyenne,US,41.14,-104.82,64.4,20,75,8.41,broken clouds
329,Omsukchan,RU,62.53,155.8,-2.69,89,100,4.59,overcast clouds
330,Yankton,US,42.87,-97.4,73.99,49,1,25.28,clear sky
331,Aykhal,RU,66.0,111.5,-2.2,84,0,6.71,clear sky
332,Carauari,BR,-4.88,-66.9,87.67,60,95,1.12,overcast clouds
333,San Jose,US,37.34,-121.89,62.01,41,40,6.93,scattered clouds
334,Upernavik,GL,72.79,-56.15,-1.19,76,0,7.36,clear sky
335,Kunming,CN,25.04,102.72,57.0,100,40,6.71,scattered clouds
336,Baykit,RU,61.67,96.37,20.7,95,100,2.86,light snow
337,Krasnoselkup,RU,65.7,82.47,34.41,98,100,8.88,overcast clouds
338,Gondal,IN,21.97,70.8,71.22,36,0,3.22,clear sky
339,San Rafael,AR,-34.62,-68.33,87.06,19,2,11.77,clear sky
340,Lima,PE,-12.04,-77.03,68.0,68,75,13.87,broken clouds
341,Edea,CM,3.8,10.13,77.0,100,75,2.24,broken clouds
342,Chumikan,RU,54.72,135.31,10.0,88,99,12.44,overcast clouds
343,Narsaq,GL,60.92,-46.05,28.4,74,75,3.36,broken clouds
344,Gamba,GA,-2.65,10.0,77.11,91,86,6.4,light rain
345,Bridlington,GB,54.08,-0.19,43.0,100,1,1.12,fog
346,Sainte-Rose,GP,16.33,-61.7,82.4,78,90,9.17,overcast clouds
347,Boqueirao,BR,-7.5,-36.13,82.4,61,75,19.46,broken clouds
348,Olinda,BR,-8.01,-34.86,82.4,69,75,14.99,broken clouds
349,Torbay,CA,47.67,-52.73,46.99,87,75,33.33,light intensity shower rain
350,Macau,MO,22.2,113.55,78.8,65,20,20.8,few clouds
351,Seydi,TM,39.48,62.91,55.87,31,100,7.09,overcast clouds
352,Winnemucca,US,40.97,-117.74,33.8,86,90,8.05,light rain
353,Iskateley,RU,67.68,53.15,31.3,99,100,3.2,overcast clouds
354,Deputatskiy,RU,69.3,139.9,-6.23,92,96,3.4,overcast clouds
